OTU;Kingdom;Class;Order;Family;Genus;Species
trac72;Plantae;Magnoliopsida;Saxifragales;Crassulaceae;Crassula;Crassula pellucida
trac73;Plantae;Magnoliopsida;Malvales;Malvaceae;Corchorus;NA
trac74;Plantae;Magnoliopsida;Geraniales;Geraniaceae;Pelargonium;NA
trac75;Plantae;Magnoliopsida;Malvales;Malvaceae;Abutilon;Abutilon mauritianum
trac76;Plantae;NA;NA;NA;NA;NA
trac77;Plantae;Magnoliopsida;Poales;Poaceae;NA;NA
trac78;Plantae;Magnoliopsida;Sapindales;Meliaceae;Lepidotrichilia;Lepidotrichilia volkensii
trac79;Plantae;Magnoliopsida;Santalales;Ximeniaceae;Ximenia;Ximenia americana
trac8;Plantae;Magnoliopsida;Malvales;Malvaceae;NA;NA
trac80;Plantae;Magnoliopsida;Asterales;Asteraceae;NA;NA
trac81;Plantae;NA;NA;NA;NA;NA
trac82;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac83;Plantae;Magnoliopsida;Malpighiales;Phyllanthaceae;Phyllanthus;Phyllanthus maderaspatensis
trac84;Plantae;Magnoliopsida;Fabales;Fabaceae;Indigofera;NA
trac85;Plantae;Magnoliopsida;Celastrales;Celastraceae;NA;NA
trac86;Plantae;Magnoliopsida;Celastrales;Celastraceae;Gymnosporia;Gymnosporia divaricata
trac87;Plantae;Magnoliopsida;NA;NA;NA;NA
trac88;Plantae;NA;NA;NA;NA;NA
trac89;Plantae;Magnoliopsida;Asterales;Asteraceae;NA;NA
trac9;Plantae;Magnoliopsida;Asparagales;Amaryllidaceae;Galanthus;NA
trac90;Plantae;Magnoliopsida;Myrtales;Myrtaceae;Heteropyxis;Heteropyxis natalensis
trac91;Plantae;NA;NA;NA;NA;NA
trac92;Plantae;Magnoliopsida;Myrtales;Combretaceae;Combretum;NA
trac93;Plantae;NA;NA;NA;NA;NA
trac94;Plantae;Magnoliopsida;Myrtales;Onagraceae;Ludwigia;Ludwigia stolonifera
trac95;Plantae;Magnoliopsida;Malvales;Malvaceae;NA;NA
trac96;Plantae;Magnoliopsida;Myrtales;Combretaceae;Combretum;NA
trac97;Plantae;NA;NA;NA;NA;NA
trac98;Plantae;Magnoliopsida;Myrtales;Myrtaceae;Psidium;Psidium guajava
trac99;Plantae;Magnoliopsida;Malpighiales;Phyllanthaceae;Phyllanthus;NA
vert10;Animalia;Lepidosauria;Squamata;Typhlopidae;NA;NA
vert11;Animalia;Mammalia;Primates;Hominidae;Homo;Homo sapiens
vert12;Animalia;Amphibia;Anura;Bufonidae;NA;NA
vert13;Animalia;Mammalia;NA;NA;NA;NA
vert14;Animalia;Mammalia;Rodentia;Muridae;Rhabdomys;Rhabdomys pumilio
vert15;Animalia;Mammalia;Rodentia;Muridae;Mus;NA
vert16;Animalia;Mammalia;Macroscelidea;Macroscelididae;Elephantulus;NA
vert17;Animalia;Mammalia;Rodentia;Muridae;NA;NA
vert18;Animalia;Mammalia;NA;NA;NA;NA
